"","cod_distrito","distrito_nombre","cod_canton","canton_nombre","provincia_nombre","n_years"
"201",21006,"Pital",210,"San Carlos","Alajuela",11
"202",21007,"La Fortuna",210,"San Carlos","Alajuela",11
"203",21008,"La Tigra",210,"San Carlos","Alajuela",11
"204",21009,"La Palmera",210,"San Carlos","Alajuela",11
"205",21010,"Venado",210,"San Carlos","Alajuela",11
"206",21011,"Cutris",210,"San Carlos","Alajuela",11
"207",21012,"Monterrey",210,"San Carlos","Alajuela",11
"208",21013,"Pocosol",210,"San Carlos","Alajuela",11
"209",21101,"Zarcero",211,"Zarcero","Alajuela",11
"210",21102,"Laguna",211,"Zarcero","Alajuela",11
"211",21103,"Tapesco",211,"Zarcero","Alajuela",11
"212",21104,"Guadalupe",211,"Zarcero","Alajuela",11
"213",21105,"Palmira",211,"Zarcero","Alajuela",11
"214",21106,"Zapote",211,"Zarcero","Alajuela",11
"215",21107,"Brisas",211,"Zarcero","Alajuela",11
"216",21201,"Sarchí Norte",212,"Sarchí","Alajuela",11
"217",21202,"Sarchí Sur",212,"Sarchí","Alajuela",11
"218",21203,"Toro Amarillo",212,"Sarchí","Alajuela",11
"219",21204,"San Pedro",212,"Sarchí","Alajuela",11
"220",21205,"Rodríguez",212,"Sarchí","Alajuela",11
"221",21301,"Upala",213,"Upala","Alajuela",11
"222",21302,"Aguas Claras",213,"Upala","Alajuela",11
"223",21303,"San José (Pizote)",213,"Upala","Alajuela",11
"224",21304,"Bijagua",213,"Upala","Alajuela",11
"225",21305,"Delicias",213,"Upala","Alajuela",11
"226",21306,"Dos Ríos",213,"Upala","Alajuela",11
"227",21307,"Yolillal",213,"Upala","Alajuela",11
"228",21308,"Canalete",213,"Upala","Alajuela",11
"229",21401,"Los Chiles",214,"Los Chiles","Alajuela",11
"230",21402,"Caño Negro",214,"Los Chiles","Alajuela",11
"231",21403,"El Amparo",214,"Los Chiles","Alajuela",11
"232",21404,"San Jorge",214,"Los Chiles","Alajuela",11
"233",21501,"San Rafael",215,"Guatuso","Alajuela",11
"234",21502,"Buenavista",215,"Guatuso","Alajuela",11
"235",21503,"Cote",215,"Guatuso","Alajuela",11
"236",21504,"Katira",215,"Guatuso","Alajuela",11
"237",21601,"Río Cuarto",216,"Río Cuarto","Alajuela",6
"238",21602,"Santa Rita",216,"Río Cuarto","Alajuela",6
"239",21603,"Santa Isabel",216,"Río Cuarto","Alajuela",6
"240",30101,"Oriental",301,"Cartago","Cartago",11
"241",30102,"Occidental",301,"Cartago","Cartago",11
"242",30103,"Carmen",301,"Cartago","Cartago",11
"243",30104,"San Nicolás",301,"Cartago","Cartago",11
"244",30105,"Agua Caliente (San Francisco)",301,"Cartago","Cartago",11
"245",30106,"Guadalupe (Arenilla)",301,"Cartago","Cartago",11
"246",30107,"Corralillo",301,"Cartago","Cartago",11
"247",30108,"Tierra Blanca",301,"Cartago","Cartago",11
"248",30109,"Dulce Nombre",301,"Cartago","Cartago",11
"249",30110,"Llano Grande",301,"Cartago","Cartago",11
"250",30111,"Quebradilla",301,"Cartago","Cartago",11
"251",30201,"Paraíso",302,"Paraíso","Cartago",11
"252",30202,"Santiago",302,"Paraíso","Cartago",11
"253",30203,"Orosi",302,"Paraíso","Cartago",11
"254",30204,"Cachí",302,"Paraíso","Cartago",11
"255",30205,"Llanos de Santa Lucía",302,"Paraíso","Cartago",11
"256",30206,"Birrisito",302,"Paraíso","Cartago",3
"257",30301,"Tres Ríos",303,"La Unión","Cartago",11
"258",30302,"San Diego",303,"La Unión","Cartago",11
