"","effect","group","level","term","estimate","std.error","conf.low","conf.high"
"460","ran_vals","distrito_nombre2","70104-Matama","(Intercept)",21.623965181426,53.1339907938798,-82.5167431294612,125.764673492313
"461","ran_vals","distrito_nombre2","70201-Guápiles","(Intercept)",86.005876810633,53.1339907938798,-18.1348315002542,190.14658512152
"462","ran_vals","distrito_nombre2","70202-Jiménez","(Intercept)",8.97947779567445,53.1339907938798,-95.1612305152127,113.120186106562
"463","ran_vals","distrito_nombre2","70203-Rita","(Intercept)",19.0287821482215,53.1339907938798,-85.1119261626657,123.169490459109
"464","ran_vals","distrito_nombre2","70204-Roxana","(Intercept)",-67.520340438947,53.1339907938798,-171.661048749834,36.6203678719402
"465","ran_vals","distrito_nombre2","70205-Cariari","(Intercept)",103.033500860926,53.1339907938798,-1.10720744996149,207.174209171813
"466","ran_vals","distrito_nombre2","70206-Colorado","(Intercept)",-128.694704245478,53.1339907938798,-232.835412556365,-24.5539959345911
"467","ran_vals","distrito_nombre2","70207-La Colonia","(Intercept)",-20.8325929309972,53.1339907938798,-124.973301241884,83.30811537989
"468","ran_vals","distrito_nombre2","70301-Siquirres","(Intercept)",245.267610773751,53.1339907938798,141.126902462864,349.408319084638
"469","ran_vals","distrito_nombre2","70302-Pacuarito","(Intercept)",-67.4696366893872,53.1339907938798,-171.610345000274,36.6710716215
"470","ran_vals","distrito_nombre2","70303-Florida","(Intercept)",-94.752205822006,53.1339907938798,-198.892914132893,9.38850248888117
"471","ran_vals","distrito_nombre2","70304-Germania","(Intercept)",105.066677644599,53.1339907938798,0.925969333711421,209.207385955486
"472","ran_vals","distrito_nombre2","70305-El Cairo","(Intercept)",33.9715101422179,53.1339907938798,-70.1691981686693,138.112218453105
"473","ran_vals","distrito_nombre2","70306-Alegría","(Intercept)",-62.2248898766188,53.1339907938798,-166.365598187506,41.9158184342683
"474","ran_vals","distrito_nombre2","70307-Reventazón","(Intercept)",-159.859066172571,74.0563228548313,-305.006791795511,-14.7113405496315
"475","ran_vals","distrito_nombre2","70401-Bratsi","(Intercept)",30.2608888973507,53.1339907938798,-73.8798194135365,134.401597208238
"476","ran_vals","distrito_nombre2","70402-Sixaola","(Intercept)",-18.1207899119059,53.1339907938798,-122.261498222793,86.0199183989813
"477","ran_vals","distrito_nombre2","70403-Cahuita","(Intercept)",32.7879278186598,53.1339907938798,-71.3527804922274,136.928636129547
"478","ran_vals","distrito_nombre2","70404-Telire","(Intercept)",-44.9280268041138,53.1339907938798,-149.068735115001,59.2126815067734
"479","ran_vals","distrito_nombre2","70501-Matina","(Intercept)",22.7101494569371,53.1339907938798,-81.4305588539501,126.850857767824
"480","ran_vals","distrito_nombre2","70502-Batán","(Intercept)",51.8838767303579,53.1339907938798,-52.2568315805293,156.024585041245
"481","ran_vals","distrito_nombre2","70503-Carrandí","(Intercept)",-74.5940261872958,53.1339907938798,-178.734734498183,29.5466821235914
"482","ran_vals","distrito_nombre2","70601-Guácimo","(Intercept)",56.3729581825514,53.1339907938798,-47.7677501283358,160.513666493439
"483","ran_vals","distrito_nombre2","70602-Mercedes","(Intercept)",-57.6545075770119,53.1339907938798,-161.795215887899,46.4862007338752
"484","ran_vals","distrito_nombre2","70603-Pocora","(Intercept)",21.0472085363344,53.1339907938798,-83.0934997745528,125.187916847222
"485","ran_vals","distrito_nombre2","70604-Río Jiménez","(Intercept)",32.3541240621263,53.1339907938798,-71.7865842487609,136.494832373013
"486","ran_vals","distrito_nombre2","70605-Duacarí","(Intercept)",-52.1197832040087,53.1339907938798,-156.260491514896,52.0209251068785
"487","ran_vals","distrito_nombre2","10101-Carmen","anho",47.3563916845929,6.09185298615331,35.4165792326196,59.2962041365661
"488","ran_vals","distrito_nombre2","10102-Merced","anho",-7.34412424555279,6.09185298615331,-19.2839366975261,4.59568820642047
"489","ran_vals","distrito_nombre2","10103-Hospital","anho",-0.589357046951308,6.09185298615331,-12.5291694989246,11.350455405022
"490","ran_vals","distrito_nombre2","10104-Catedral","anho",-4.56325480304876,6.09185298615331,-16.503067255022,7.3765576489245
"491","ran_vals","distrito_nombre2","10105-Zapote","anho",-1.77452710965789,6.09185298615331,-13.7143395616311,10.1652853423154
"492","ran_vals","distrito_nombre2","10106-San Francisco de Dos Ríos","anho",-5.92742993632182,6.09185298615331,-17.8672423882951,6.01238251565144
"493","ran_vals","distrito_nombre2","10107-Uruca","anho",-9.53804515293619,6.09185298615331,-21.4778576049094,2.40176729903707
"494","ran_vals","distrito_nombre2","10108-Mata Redonda","anho",2.23740402889192,6.09185298615331,-9.70240842308134,14.1772164808652
"495","ran_vals","distrito_nombre2","10109-Pavas","anho",-6.54595446300138,6.09185298615331,-18.4857669149746,5.39385798897188
"496","ran_vals","distrito_nombre2","10110-Hatillo","anho",-5.93992045594422,6.09185298615331,-17.8797329079175,5.99989199602904
"497","ran_vals","distrito_nombre2","10111-San Sebastián","anho",-7.37118249951289,6.09185298615331,-19.3109949514862,4.56862995246037
"498","ran_vals","distrito_nombre2","10201-Escazú","anho",5.93604414245446,6.09185298615331,-6.0037683095188,17.8758565944277
"499","ran_vals","distrito_nombre2","10202-San Antonio","anho",-4.85341862505281,6.09185298615331,-16.7932310770261,7.08639382692045
"500","ran_vals","distrito_nombre2","10203-San Rafael","anho",-1.08262551740174,6.09185298615331,-13.022437969375,10.8571869345715
"501","ran_vals","distrito_nombre2","10301-Desamparados","anho",3.00111120692743,6.09185298615331,-8.93870124504583,14.9409236589007
"502","ran_vals","distrito_nombre2","10302-San Miguel","anho",1.55156085756382,6.09185298615331,-10.3882515944094,13.4913733095371
"503","ran_vals","distrito_nombre2","10303-San Juan de Dios","anho",-1.82356375488846,6.09185298615331,-13.7633762068617,10.1162486970848
"504","ran_vals","distrito_nombre2","10304-San Rafael Arriba","anho",-1.6105034046037,6.09185298615331,-13.550315856577,10.3293090473696
"505","ran_vals","distrito_nombre2","10305-San Antonio","anho",5.95527008052372,6.09185298615331,-5.98454237144954,17.895082532497
"506","ran_vals","distrito_nombre2","10306-Frailes","anho",-4.2767488757357,6.09185298615331,-16.216561327709,7.66306357623756
"507","ran_vals","distrito_nombre2","10307-Patarrá","anho",-4.89457165251286,6.09185298615331,-16.8343841044861,7.0452407994604
"508","ran_vals","distrito_nombre2","10308-San Cristóbal","anho",3.51386733814473,6.09185298615331,-8.42594511382853,15.453679790118
"509","ran_vals","distrito_nombre2","10309-Rosario","anho",1.73009815573567,6.09185298615331,-10.2097142962376,13.6699106077089
"510","ran_vals","distrito_nombre2","10310-Damas","anho",-2.7964318677192,6.09185298615331,-14.7362443196925,9.14338058425406
"511","ran_vals","distrito_nombre2","10311-San Rafael Abajo","anho",0.141478875763823,6.09185298615331,-11.7983335762094,12.0812913277371
"512","ran_vals","distrito_nombre2","10312-Gravilias","anho",3.9783663054227,6.09185298615331,-7.96144614655056,15.918178757396
"513","ran_vals","distrito_nombre2","10313-Los Guido","anho",-4.46993326462268,6.09185298615331,-16.4097457165959,7.46987918735058
"514","ran_vals","distrito_nombre2","10401-Santiago","anho",3.45633475671266,6.09185298615331,-8.4834776952606,15.3961472086859
"515","ran_vals","distrito_nombre2","10402-Mercedes Sur","anho",2.0387487644661,6.09185298615331,-9.90106368750716,13.9785612164394
"516","ran_vals","distrito_nombre2","10403-Barbacoas","anho",-0.750685242812068,6.09185298615331,-12.6904976947853,11.1891272091612
"517","ran_vals","distrito_nombre2","10404-Grifo Alto","anho",0.819190389263484,6.09185298615331,-11.1206220627098,12.7590028412367
"518","ran_vals","distrito_nombre2","10405-San Rafael","anho",-4.33086098187721,6.09185298615331,-16.2706734338505,7.60895147009604
"519","ran_vals","distrito_nombre2","10406-Candelarita","anho",-2.0564109718743,6.09185298615331,-13.9962234238476,9.88340148009896
"520","ran_vals","distrito_nombre2","10407-Desamparaditos","anho",4.87203184233706,6.09185298615331,-7.0677806096362,16.8118442943103
"521","ran_vals","distrito_nombre2","10408-San Antonio","anho",-1.58968466470727,6.09185298615331,-13.5294971166805,10.350127787266
"522","ran_vals","distrito_nombre2","10409-Chires","anho",-2.45866389150829,6.09185298615331,-14.3984763434816,9.48114856046496
"523","ran_vals","distrito_nombre2","10501-San Marcos","anho",4.90452700916255,6.09185298615331,-7.03528544281071,16.8443394611358
"524","ran_vals","distrito_nombre2","10502-San Lorenzo","anho",-0.467109367960028,6.09185298615331,-12.4069218199333,11.4727030840132
"525","ran_vals","distrito_nombre2","10503-San Carlos","anho",-4.43741764120254,6.09185298615331,-16.3772300931758,7.50239481077072
"526","ran_vals","distrito_nombre2","10601-Aserrí","anho",4.71300607344379,6.09185298615331,-7.22680637852946,16.6528185254171
"527","ran_vals","distrito_nombre2","10602-Tarbaca","anho",9.50269829671194,6.09185298615331,-2.43711415526132,21.4425107486852
"528","ran_vals","distrito_nombre2","10603-Vuelta de Jorco","anho",-0.911588068290323,6.09185298615331,-12.8514005202636,11.0282243836829
"529","ran_vals","distrito_nombre2","10604-San Gabriel","anho",-2.66252623531527,6.09185298615331,-14.6023386872885,9.27728621665798
"530","ran_vals","distrito_nombre2","10605-Legua","anho",-8.4686812694144,6.09185298615331,-20.4084937213877,3.47113118255885
"531","ran_vals","distrito_nombre2","10606-Monterrey","anho",1.79974995356935,6.09185298615331,-10.1400624984039,13.7395624055426
"532","ran_vals","distrito_nombre2","10607-Salitrillos","anho",-3.97265875070465,6.09185298615331,-15.9124712026779,7.96715370126861
"533","ran_vals","distrito_nombre2","10701-Colón","anho",5.30272673398944,6.09185298615331,-6.63708571798382,17.2425391859627
"534","ran_vals","distrito_nombre2","10702-Guayabo","anho",0.139145777563313,6.09185298615331,-11.8006666744099,12.0789582295366
"535","ran_vals","distrito_nombre2","10703-Tabarcia","anho",13.3715226453687,6.09185298615331,1.43171019339544,25.311335097342
"536","ran_vals","distrito_nombre2","10704-Piedras Negras","anho",-10.2280390359946,6.09185298615331,-22.1678514879679,1.71177341597866
"537","ran_vals","distrito_nombre2","10705-Picagres","anho",3.46757907144305,6.09185298615331,-8.47223338053021,15.4073915234163
"538","ran_vals","distrito_nombre2","10706-Jaris","anho",-9.5491645862869,6.09185298615331,-21.4889770382602,2.39064786568636
"539","ran_vals","distrito_nombre2","10707-Quitirrisí","anho",-2.50377060608276,6.51227893741461,-15.2676027806942,10.2600615685286
"540","ran_vals","distrito_nombre2","10801-Guadalupe","anho",11.0856445864201,6.09185298615331,-0.854167865553121,23.0254570383934
"541","ran_vals","distrito_nombre2","10802-San Francisco","anho",15.5490531362656,6.09185298615331,3.60924068429232,27.4888655882388
"542","ran_vals","distrito_nombre2","10803-Calle Blancos","anho",-9.24983597430132,6.09185298615331,-21.1896484262746,2.68997647767194
"543","ran_vals","distrito_nombre2","10804-Mata de Plátano","anho",-11.3850858196396,6.09185298615331,-23.3248982716128,0.554726632333702
"544","ran_vals","distrito_nombre2","10805-Ipís","anho",-8.93285897598886,6.09185298615331,-20.8726714279621,3.0069534759844
"545","ran_vals","distrito_nombre2","10806-Rancho Redondo","anho",13.1717529424143,6.09185298615331,1.23194049044107,25.1115653943876
"546","ran_vals","distrito_nombre2","10807-Purral","anho",-10.2386698951703,6.09185298615331,-22.1784823471435,1.70114255680298
"547","ran_vals","distrito_nombre2","10901-Santa Ana","anho",5.34242043778614,6.09185298615331,-6.59739201418712,17.2822328897594
"548","ran_vals","distrito_nombre2","10902-Salitral","anho",-3.29133927472684,6.09185298615331,-15.2311517267001,8.64847317724642
"549","ran_vals","distrito_nombre2","10903-Pozos","anho",-2.89916659600999,6.09185298615331,-14.8389790479833,9.04064585596326
"550","ran_vals","distrito_nombre2","10904-Uruca","anho",1.90629679317744,6.09185298615331,-10.0335156587958,13.8461092451507
"551","ran_vals","distrito_nombre2","10905-Piedades","anho",-4.15437067127819,6.09185298615331,-16.0941831232515,7.78544178069507
"552","ran_vals","distrito_nombre2","10906-Brasil","anho",3.09615931105137,6.09185298615331,-8.84365314092189,15.0359717630246
"553","ran_vals","distrito_nombre2","11001-Alajuelita","anho",4.11363266688781,6.09185298615331,-7.82617978508545,16.0534451188611
"554","ran_vals","distrito_nombre2","11002-San Josecito","anho",-1.4415096769193,6.09185298615331,-13.3813221288926,10.498302775054
"555","ran_vals","distrito_nombre2","11003-San Antonio","anho",1.01627560293628,6.09185298615331,-10.923536849037,12.9560880549095
"556","ran_vals","distrito_nombre2","11004-Concepción","anho",-1.30849696531839,6.09185298615331,-13.2483094172916,10.6313154866549
"557","ran_vals","distrito_nombre2","11005-San Felipe","anho",-2.37990162758647,6.09185298615331,-14.3197140795597,9.55991082438678
"558","ran_vals","distrito_nombre2","11101-San Isidro","anho",0.704806543243598,6.09185298615331,-11.2350059087297,12.6446189952169
"559","ran_vals","distrito_nombre2","11102-San Rafael","anho",-4.59626516483635,6.09185298615331,-16.5360776168096,7.34354728713691
"560","ran_vals","distrito_nombre2","11103-Dulce Nombre de Jesús","anho",1.14167062142277,6.09185298615331,-10.7981418305505,13.081483073396
"561","ran_vals","distrito_nombre2","11104-Patalillo","anho",0.693879691771289,6.09185298615331,-11.245932760202,12.6336921437445
"562","ran_vals","distrito_nombre2","11105-Cascajal","anho",2.05590830839808,6.09185298615331,-9.88390414357518,13.9957207603713
"563","ran_vals","distrito_nombre2","11201-San Ignacio","anho",2.54101585157665,6.09185298615331,-9.39879660039661,14.4808283035499
"564","ran_vals","distrito_nombre2","11202-Guaitil","anho",-1.59623571264979,6.09185298615331,-13.536048164623,10.3435767393235
"565","ran_vals","distrito_nombre2","11203-Palmichal","anho",3.61267706836373,6.09185298615331,-8.32713538360953,15.552489520337
"566","ran_vals","distrito_nombre2","11204-Cangrejal","anho",0.733294963169473,6.09185298615331,-11.2065174888038,12.6731074151427
"567","ran_vals","distrito_nombre2","11205-Sabanillas","anho",-5.29075217046034,6.09185298615331,-17.2305646224336,6.64906028151292
"568","ran_vals","distrito_nombre2","11301-San Juan","anho",4.98730915430473,6.09185298615331,-6.95250329766853,16.927121606278
"569","ran_vals","distrito_nombre2","11302-Cinco Esquinas","anho",0.140475353865252,6.09185298615331,-11.799337098108,12.0802878058385
"570","ran_vals","distrito_nombre2","11303-Anselmo Llorente","anho",0.973774285186369,6.09185298615331,-10.9660381667869,12.9135867371596
"571","ran_vals","distrito_nombre2","11304-León XIII","anho",-5.71274453581676,6.09185298615331,-17.65255698779,6.2270679161565
"572","ran_vals","distrito_nombre2","11305-Colima","anho",-0.388814257539189,6.09185298615331,-12.3286267095124,11.5509981944341
"573","ran_vals","distrito_nombre2","11401-San Vicente","anho",4.17541615124195,6.09185298615331,-7.76439630073131,16.1152286032152
"574","ran_vals","distrito_nombre2","11402-San Jerónimo","anho",2.03886313864184,6.09185298615331,-9.90094931333142,13.9786755906151
"575","ran_vals","distrito_nombre2","11403-La Trinidad","anho",-6.2142792898839,6.09185298615331,-18.1540917418572,5.72553316208936
"576","ran_vals","distrito_nombre2","11501-San Pedro","anho",4.37445705116461,6.09185298615331,-7.56535540080865,16.3142695031379
"577","ran_vals","distrito_nombre2","11502-Sabanilla","anho",0.530674080698288,6.09185298615331,-11.409138371275,12.4704865326715
"578","ran_vals","distrito_nombre2","11503-Mercedes","anho",-3.05266938866433,6.09185298615331,-14.9924818406376,8.88714306330893
"579","ran_vals","distrito_nombre2","11504-San Rafael","anho",-1.85246174319861,6.09185298615331,-13.7922741951719,10.0873507087746
"580","ran_vals","distrito_nombre2","11601-San Pablo","anho",8.15091647677628,6.09185298615331,-3.78889597519698,20.0907289287495
"581","ran_vals","distrito_nombre2","11602-San Pedro","anho",-4.61336071736484,6.09185298615331,-16.5531731693381,7.32645173460841
"582","ran_vals","distrito_nombre2","11603-San Juan de Mata","anho",2.10269691436741,6.09185298615331,-9.83711553760585,14.0425093663407
"583","ran_vals","distrito_nombre2","11604-San Luis","anho",3.02058256745659,6.09185298615331,-8.91922988451666,14.9603950194299
"584","ran_vals","distrito_nombre2","11605-Carara","anho",-8.66083524123556,6.09185298615331,-20.6006476932088,3.2789772107377
"585","ran_vals","distrito_nombre2","11701-Santa María","anho",-7.97670527396876,6.09185298615331,-19.916517725942,3.9631071780045
"586","ran_vals","distrito_nombre2","11702-Jardín","anho",10.532751393708,6.09185298615331,-1.40706105826525,22.4725638456813
"587","ran_vals","distrito_nombre2","11703-Copey","anho",-2.5560461197393,6.09185298615331,-14.4958585717126,9.38376633223396
