cod_canton,cod_distrito,anho,defunciones_hombres,defunciones_mujeres,defunciones_total
101,10106,2014,52,50,102
101,10107,2014,76,72,148
101,10108,2014,32,38,70
101,10109,2014,209,169,378
101,10110,2014,175,159,334
101,10111,2014,127,106,233
102,10201,2014,41,44,85
102,10202,2014,55,44,99
102,10203,2014,77,74,151
103,10301,2014,146,119,265
103,10302,2014,111,71,182
103,10303,2014,51,47,98
103,10304,2014,45,39,84
103,10305,2014,27,25,52
103,10306,2014,9,6,15
103,10307,2014,32,28,60
103,10308,2014,12,11,23
103,10309,2014,10,6,16
103,10310,2014,33,26,59
103,10311,2014,60,52,112
103,10312,2014,40,36,76
103,10313,2014,49,22,71
104,10401,2014,39,30,69
104,10402,2014,10,7,17
104,10403,2014,13,7,20
104,10404,2014,4,2,6
104,10405,2014,4,7,11
104,10406,2014,7,5,12
104,10407,2014,3,0,3
104,10408,2014,14,13,27
104,10409,2014,2,4,6
105,10501,2014,22,18,40
105,10502,2014,7,3,10
105,10503,2014,2,7,9
106,10601,2014,74,61,135
106,10602,2014,8,5,13
106,10603,2014,14,12,26
106,10604,2014,16,5,21
106,10605,2014,3,2,5
106,10606,2014,1,4,5
106,10607,2014,17,8,25
107,10701,2014,42,37,79
107,10702,2014,8,6,14
107,10703,2014,13,13,26
107,10704,2014,3,2,5
107,10705,2014,0,2,2
107,10706,2014,1,2,3
108,10801,2014,113,95,208
108,10802,2014,5,10,15
108,10803,2014,38,49,87
108,10804,2014,33,30,63
108,10805,2014,66,61,127
108,10806,2014,8,6,14
108,10807,2014,58,36,94
109,10901,2014,43,23,66
109,10902,2014,8,9,17
109,10903,2014,27,23,50
109,10904,2014,16,13,29
109,10905,2014,22,11,33
109,10906,2014,4,3,7
110,11001,2014,43,33,76
110,11002,2014,40,21,61
110,11003,2014,5,2,7
110,11004,2014,44,29,73
110,11005,2014,71,45,116
111,11101,2014,64,44,108
111,11102,2014,21,15,36
111,11103,2014,23,14,37
111,11104,2014,38,50,88
111,11105,2014,15,15,30
112,11201,2014,25,24,49
112,11202,2014,10,7,17
112,11203,2014,7,5,12
112,11204,2014,4,3,7
112,11205,2014,4,12,16
113,11301,2014,98,92,190
113,11302,2014,32,34,66
113,11303,2014,34,37,71
113,11304,2014,49,35,84
113,11305,2014,27,34,61
114,11401,2014,94,95,189
114,11402,2014,17,6,23
114,11403,2014,43,27,70
115,11501,2014,86,73,159
115,11502,2014,43,31,74
115,11503,2014,9,11,20
115,11504,2014,19,15,34
116,11601,2014,0,4,4
116,11602,2014,0,1,1
116,11603,2014,2,1,3
116,11604,2014,1,2,3
116,11605,2014,0,3,3
117,11701,2014,19,14,33
117,11702,2014,0,1,0
117,11703,2014,1,1,2
118,11801,2014,76,89,165
118,11802,2014,32,21,53
118,11803,2014,8,9,17
118,11804,2014,35,28,63
119,11901,2014,130,118,248
119,11902,2014,17,17,34
119,11903,2014,81,55,136
119,11904,2014,15,8,23
119,11905,2014,16,11,27
119,11906,2014,27,17,44
119,11907,2014,23,11,34
119,11908,2014,20,16,36
119,11909,2014,4,2,6
119,11910,2014,9,4,13
119,11911,2014,12,10,22
120,12001,2014,16,13,29
120,12002,2014,1,4,5
120,12003,2014,2,8,10
120,12004,2014,7,2,9
120,12005,2014,2,3,5
120,12006,2014,3,2,5
201,20101,2014,165,183,348
201,20102,2014,109,62,171
201,20103,2014,28,9,37
201,20104,2014,54,48,102
201,20105,2014,52,30,82
201,20106,2014,44,24,68
201,20107,2014,17,18,35
201,20108,2014,68,29,97
201,20109,2014,38,27,65
201,20110,2014,70,44,114
201,20111,2014,21,13,34
201,20112,2014,34,19,53
201,20113,2014,22,13,35
201,20114,2014,9,5,14
202,20201,2014,53,36,89
202,20202,2014,12,7,19
202,20203,2014,36,29,65
202,20204,2014,14,19,33
202,20205,2014,8,8,16
202,20206,2014,19,10,29
202,20207,2014,13,3,16
202,20208,2014,12,13,25
202,20209,2014,8,13,21
202,20210,2014,8,6,14
202,20211,2014,5,8,13
202,20212,2014,0,0,0
202,20213,2014,8,10,18
203,20301,2014,58,54,112
203,20302,2014,17,15,32
203,20303,2014,14,10,24
203,20304,2014,44,28,72
203,20305,2014,22,20,42
203,20306,2014,18,14,32
203,20307,2014,23,20,43
203,20308,2014,13,16,29
204,20401,2014,6,8,14
204,20402,2014,2,1,3
204,20403,2014,6,4,10
204,20404,2014,1,1,2
205,20501,2014,26,29,55
205,20502,2014,10,11,21
205,20503,2014,6,5,11
205,20504,2014,2,4,6
205,20505,2014,4,7,11
205,20506,2014,3,2,5
205,20507,2014,2,0,2
205,20508,2014,3,3,6
206,20601,2014,47,43,90
206,20602,2014,12,4,16
206,20603,2014,6,6,12
206,20604,2014,9,13,22
206,20605,2014,7,7,14
206,20606,2014,8,4,12
206,20607,2014,7,6,13
206,20608,2014,8,6,14
207,20701,2014,20,14,34
207,20702,2014,28,21,49
207,20703,2014,15,6,21
207,20704,2014,8,8,16
207,20705,2014,2,6,8
207,20706,2014,8,14,22
207,20707,2014,19,12,31
208,20801,2014,22,17,39
208,20802,2014,8,6,14
208,20803,2014,8,9,17
208,20804,2014,18,12,30
208,20805,2014,14,2,16
209,20901,2014,33,28,61
209,20902,2014,2,4,6
209,20903,2014,7,3,10
209,20904,2014,13,11,24
209,20905,2014,7,8,15
210,21001,2014,111,81,192
210,21002,2014,31,20,51
210,21003,2014,2,1,3
210,21004,2014,39,26,65
210,21005,2014,14,18,32
210,21006,2014,32,27,59
210,21007,2014,31,16,47
210,21008,2014,14,6,20
210,21009,2014,10,9,19
210,21010,2014,1,2,3
210,21011,2014,26,10,36
210,21012,2014,14,0,14
210,21013,2014,22,20,42
211,21101,2014,24,18,42
211,21102,2014,2,2,4
211,21103,2014,5,4,9
211,21104,2014,1,1,2
211,21105,2014,0,1,1
211,21106,2014,1,1,2
211,21107,2014,2,2,4
212,21201,2014,32,16,48
212,21202,2014,6,13,19
212,21203,2014,1,0,1
212,21204,2014,10,7,17
212,21205,2014,6,3,9
213,21301,2014,40,15,55
213,21302,2014,16,15,31
213,21303,2014,28,10,38
213,21304,2014,15,12,27
213,21305,2014,9,9,18
213,21306,2014,9,4,13
213,21307,2014,14,7,21
213,21308,2014,2,3,5
214,21401,2014,37,15,52
214,21402,2014,4,5,9
214,21403,2014,11,3,14
214,21404,2014,6,4,10
215,21501,2014,19,13,32
215,21502,2014,9,5,14
215,21503,2014,2,0,2
215,21504,2014,5,5,10
301,30101,2014,66,70,136
301,30102,2014,23,39,62
301,30103,2014,64,41,105
301,30104,2014,57,55,112
301,30105,2014,48,40,88
301,30106,2014,25,28,53
301,30107,2014,27,22,49
301,30108,2014,12,9,21
301,30109,2014,18,18,36
301,30110,2014,10,9,19
301,30111,2014,11,8,19
302,30201,2014,74,48,122
302,30202,2014,10,14,24
302,30203,2014,26,19,45
302,30204,2014,17,5,22
302,30205,2014,26,13,39
303,30301,2014,38,38,76
303,30302,2014,20,27,47
303,30303,2014,17,12,29
303,30304,2014,22,20,42
303,30305,2014,34,28,62
303,30306,2014,22,12,34
303,30307,2014,13,8,21
303,30308,2014,25,10,35
304,30401,2014,20,18,38
