cod_canton,cod_distrito,distrito_nombre,area_km2
501,50101,Liberia,563.02
501,50102,Cañas Dulces,243.41
501,50103,Mayorga,227.51
501,50104,Nacascolo,326.91
501,50105,Curubandé,81.32
502,50201,Nicoya,310.66
502,50202,Mansión,212.15
502,50203,San Antonio,339.5
502,50204,Quebrada Honda,109.17
502,50205,Sámara,109.36
502,50206,Nosara,133.65
502,50207,Belén de Nosarita,123.07
503,50301,Santa Cruz,288.92
503,50302,Bolsón,32.28
503,50303,Veintisiete de Abril,303
503,50304,Tempate,129.7
503,50305,Cartagena,82.89
503,50306,Cuajiniquil,218
503,50307,Diriá,66.22
503,50308,Cabo Velas,73.7
503,50309,Tamarindo,126.09
504,50401,Bagaces,798.1
504,50402,La Fortuna,163.47
504,50403,Mogote,181.77
504,50404,Río Naranjo,43.62
504,50405,Pijije,91
505,50501,Filadelfia,125.24
505,50502,Palmira,31.46
505,50503,Sardinal,260.17
505,50504,Belén,182.14
506,50601,Cañas,193.09
506,50602,Palmira,204.03
506,50603,San Miguel,120.95
506,50604,Bebedero,58.06
506,50605,Porozal,110.91
507,50701,Las Juntas,228.71
507,50702,Sierra,112
507,50703,San Juan,107.47
507,50704,Colorado,197.84
508,50801,Tilarán,144.75
508,50802,Quebrada Grande,34.45
508,50803,Tronadora,139.93
508,50804,Santa Rosa,71.06
508,50805,Líbano,72.13
508,50806,Tierras Morenas,83.32
508,50807,Arenal,72.67
508,50808,Cabeceras,50.93
509,50901,Carmona,31.66
509,50902,Santa Rita,51.38
509,50903,Zapotal,105.08
509,50904,San Pablo,78.08
509,50905,Porvenir,40.15
509,50906,Bejuco,261.78
510,51001,La Cruz,344.41
510,51002,Santa Cecilia,258.01
510,51003,La Garita,273.39
510,51004,Santa Elena,509.59
511,51101,Hojancha,70.4
511,51102,Monte Romo,75.27
511,51103,Puerto Carrillo,76.87
511,51104,Huacas,31.74
511,51105,Matambú,8.71
601,60101,Puntarenas,34.03
601,60102,Pitahaya,109.55
601,60103,Chomes,118.95
601,60104,Lepanto,424.31
601,60105,Paquera,335.63
601,60106,Manzanillo,59.86
601,60107,Guacimal,114.94
601,60108,Barranca,36.21
601,60110,Isla del Coco,23.03
601,60111,Cóbano,319.27
601,60112,Chacarita,4.92
601,60113,Chira,42.02
601,60114,Acapulco,110.91
601,60115,El Roble,7.93
601,60116,Arancibia,44.86
602,60201,Espíritu Santo,18.91
602,60202,San Juan Grande,18.71
602,60203,Macacona,34.13
602,60204,San Rafael,34.32
602,60205,San Jerónimo,49.14
602,60206,Caldera,62.02
603,60301,Buenos Aires,523.7
603,60302,Volcán,187.41
603,60303,Potrero Grande,368.2
603,60304,Boruca,125.79
603,60305,Pilas,114.34
603,60306,Colinas,128.8
603,60307,Chánguena,273.04
603,60308,Biolley,208.27
603,60309,Brunka,163.77
603,60310,Cabagra,289.6
604,60401,Miramar,110.96
604,60402,La Unión,78.93
604,60403,San Isidro,57.71
605,60501,Puerto Cortés,234.39
605,60502,Palmar,250.8
605,60503,Sierpe,634.18
605,60504,Bahía Ballena,158.33
605,60505,Piedras Blancas,262.58
605,60506,Bahía Drake,392.41
606,60601,Quepos,236.05
606,60602,Savegre,216.47
606,60603,Naranjito,105.33
607,60701,Golfito,355.9
607,60703,Guaycará,323.1
607,60704,Pavón,353.32
608,60801,San Vito,74.59
608,60802,Sabalito,186.86
608,60803,Aguabuena,63.89
608,60804,Limoncito,123.64
608,60805,Pittier,257.05
608,60806,Gutiérrez Braun,238.19
609,60901,Parrita,483.22
610,61001,Corredor,275.67
610,61002,La Cuesta,37.08
610,61003,Canoas,122.02
610,61004,Laurel,188.85
611,61101,Jacó,141.37
611,61102,Tárcoles,93.64
611,61103,Lagunillas,81
612,61201,Monteverde,53.47
613,61301,Puerto Jiménez,720.43
701,70101,Limón,59.18
701,70102,Valle La Estrella,1238.42
701,70103,Río Blanco,131.31
701,70104,Matama,340.47
702,70201,Guápiles,221.74
702,70202,Jiménez,108.23
702,70203,Rita,503.74
702,70204,Roxana,166.21
702,70205,Cariari,201.03
